"","Age","lam_hat","Est_Var","CI_lower","CI_upper","cat"
"41",41,0.0356234096692112,0.717333490042424,0.0247608028400811,0.0512514608131459,"deep_subprime"
"42",42,0.0322147651006711,0.686814090543718,0.0217333043627615,0.0477511874480348,"deep_subprime"
"43",43,0.0254237288135593,0.57435886823872,0.0161129820044921,0.040114609859628,"deep_subprime"
"44",44,0.0223214285714286,0.532979270112063,0.0135334782542391,0.0368158254743802,"deep_subprime"
"45",45,0.0123839009287926,0.310723871942732,0.00621987304325058,0.0246566129481642,"deep_subprime"
"46",46,0.0222222222222222,0.56604193611601,0.01323842159661,0.037302570921316,"deep_subprime"
"47",47,0.0297029702970297,0.780536949881637,0.0188439468012704,0.0468196208453926,"deep_subprime"
"48",48,0.0173310225303293,0.484414492526402,0.00937547641721138,0.0320372350780358,"deep_subprime"
"49",49,0.0144144144144144,0.420106955750491,0.0072448376787856,0.0286790887694955,"deep_subprime"
"50",50,0.00186219739292365,0.0568072074889719,0.000262794997018447,0.0131957577943092,"deep_subprime"
"51",51,0.00397614314115308,0.1292186723695,0.000997170496000521,0.0158545748619205,"deep_subprime"
"52",52,0.0102040816326531,0.338286768268324,0.00426630784713552,0.0244059467100476,"deep_subprime"
"53",53,0.0127388535031847,0.438230893377844,0.00575240226327225,0.0282105425087726,"deep_subprime"
"54",54,0.00731707317073171,0.290753935665472,0.00236972099026987,0.0225931913527696,"deep_subprime"
"55",55,0.0117647058823529,0.748277630775494,0.00381978588007367,0.0362345714769751,"deep_subprime"
"56",56,0.00740740740740741,0.893850734136056,0.00105104944317008,0.0522046653997753,"deep_subprime"
"57",57,0,0,NA,NA,"deep_subprime"
"58",58,0,0,NA,NA,"deep_subprime"
"59",59,0,0,NA,NA,"deep_subprime"
"60",60,0,0,NA,NA,"deep_subprime"
"61",61,0,0,NA,NA,"deep_subprime"
"101",10,0.00749464668094218,0.0653534709514846,0.00444746025862695,0.0126296190647691,"near_prime"
"111",11,0.00975609756097561,0.0859376451944174,0.0061606578423326,0.0154498824728165,"near_prime"
"121",12,0.00550660792951542,0.0494916259250276,0.00296792370868977,0.0102168161535353,"near_prime"
"131",13,0.00782122905027933,0.0711497555767846,0.00464165874172008,0.0131788283587312,"near_prime"
